,detector,mode,window_small,window_large,standard,fn,fp,sides
484,ratio,individual,30,600,40.01,55.12,36.62,1
485,ratio,individual,30,660,40.64,55.54,36.62,1
486,ratio,individual,30,720,41.17,55.9,36.62,1
487,ratio,individual,30,780,41.57,56.45,36.62,1
488,ratio,individual,30,840,41.65,56.5,36.62,1
489,ratio,individual,30,900,41.56,56.44,36.68,1
490,ratio,individual,30,960,41.84,56.63,37.15,1
491,ratio,individual,30,1020,41.16,56.1,37.15,1
492,ratio,individual,30,1080,41.28,55.8,36.43,1
493,ratio,individual,30,1140,41.66,55.93,36.7,1
494,ratio,individual,30,1200,41.96,56.13,36.65,1
495,ratio,individual,30,1260,42.26,56.33,36.67,1
496,ratio,individual,30,1320,42.16,56.27,36.61,1
